VentaID,Fecha,ClienteID,ProductoID,Cantidad
1,2025-02-25,32,9,2
2,2025-04-23,43,3,2
3,2026-02-25,144,2,2
4,2025-06-25,31,10,2
5,2026-01-22,108,5,2
6,2025-07-14,93,4,2
7,2025-08-16,49,5,2
8,2025-02-13,140,10,3
9,2026-02-04,91,5,1
10,2025-09-24,113,10,1
11,2025-07-26,57,9,1
12,2025-01-31,123,9,1
13,2026-02-27,140,5,3
14,2025-03-28,51,2,1
15,2025-05-21,107,9,2
16,2025-02-17,15,9,4
17,2025-09-06,8,9,3
18,2025-01-05,98,2,1
19,2025-10-13,24,9,2
20,2025-03-18,75,1,1
21,2026-05-23,15,11,1
22,2025-10-02,63,3,1
23,2025-05-03,30,2,1
24,2026-03-24,135,10,3
25,2026-06-20,7,10,1
26,2026-06-14,17,4,1
27,2025-12-30,17,4,1
28,2026-02-20,106,7,1
29,2026-05-07,143,3,2
30,2025-11-11,113,11,4
31,2026-02-17,58,11,1
32,2025-10-20,109,1,2
33,2025-02-05,26,1,1
34,2025-08-15,44,9,2
35,2026-04-15,120,5,2
36,2025-11-14,115,10,3
37,2025-06-11,104,2,1
38,2026-06-24,117,7,1
39,2026-04-10,130,2,3
40,2025-05-23,38,8,2
41,2025-06-30,15,10,4
42,2026-06-08,69,10,3
43,2025-05-09,121,6,3
44,2026-01-06,105,4,1
45,2025-01-21,94,3,1
46,2025-06-02,114,11,2
47,2025-05-22,13,2,1
48,2025-05-06,70,11,4
49,2025-01-25,120,5,1
50,2025-05-03,132,3,1
51,2025-01-24,22,10,2
52,2025-07-25,105,8,2
53,2026-03-13,94,4,1
54,2026-02-22,83,2,1
55,2025-06-24,142,1,1
56,2025-11-15,6,8,1
57,2025-07-06,19,2,4
58,2025-03-20,50,5,1
59,2026-03-31,84,10,2
60,2026-03-15,102,4,1
61,2025-01-10,51,5,3
62,2025-12-03,67,4,1
63,2025-09-14,64,1,1
64,2025-12-29,71,9,1
65,2025-08-28,37,2,1
66,2026-04-01,4,8,2
67,2026-05-08,39,1,5
68,2025-03-05,139,7,1
69,2025-02-27,8,1,2
70,2025-09-03,143,10,1
71,2025-01-07,104,1,1
72,2026-01-13,81,1,2
73,2026-04-13,96,5,1
74,2025-03-31,41,11,2
75,2025-04-23,34,5,2
76,2025-07-19,139,9,4
77,2025-07-21,78,7,1
78,2025-10-27,62,11,1
79,2025-08-29,32,1,1
80,2026-03-23,13,5,2
81,2025-02-19,129,3,3
82,2026-04-29,96,6,1
83,2025-05-05,26,8,5
84,2026-06-17,144,5,2
85,2025-01-20,36,10,2
86,2025-07-22,84,4,1
87,2025-01-20,89,9,1
88,2025-08-03,35,4,3
89,2025-05-01,67,5,1
90,2026-04-19,115,8,1
91,2026-01-16,24,6,5
92,2025-01-14,102,8,3
93,2026-04-03,80,8,4
94,2025-10-12,16,9,2
95,2025-03-24,84,8,1
96,2025-04-25,123,3,4
97,2025-06-17,65,8,2
98,2026-06-12,141,5,1
99,2025-06-15,130,4,2
100,2025-04-26,54,11,1
101,2025-04-16,45,2,1
102,2025-04-09,45,11,1
103,2025-02-05,93,1,2
104,2026-02-17,34,3,1
105,2026-05-28,63,10,1
106,2025-01-09,150,2,1
107,2025-08-28,57,11,1
108,2025-02-25,94,4,2
109,2026-03-20,74,10,3
110,2026-03-21,144,10,2
111,2025-05-03,122,5,2
112,2025-01-22,134,1,5
113,2025-09-15,107,1,2
114,2025-09-24,15,3,2
115,2025-12-12,42,1,2
116,2025-02-12,56,2,2
117,2025-07-12,82,5,1
118,2026-05-09,3,3,1
119,2025-07-31,54,6,1
120,2025-04-10,99,6,2
121,2025-07-18,98,1,1
122,2025-05-01,102,4,2
123,2026-02-11,55,4,1
124,2026-02-20,137,7,1
125,2026-06-20,64,10,2
126,2025-09-23,141,6,1
127,2025-01-16,86,2,1
128,2025-04-16,39,9,1
129,2025-10-17,133,4,1
130,2025-10-23,72,4,1
131,2026-05-12,150,3,1
132,2025-12-25,28,6,2
133,2025-05-12,63,7,1
134,2025-02-02,86,3,1
135,2026-06-09,17,8,3
136,2026-01-20,2,9,2
137,2026-04-26,107,9,1
138,2025-07-01,149,1,3
139,2025-10-09,21,8,1
140,2026-04-12,36,6,1
141,2025-02-15,36,8,1
142,2025-07-19,68,10,1
143,2025-12-09,92,3,2
144,2026-04-18,18,7,1
145,2025-10-15,39,8,1
146,2025-11-29,107,2,2
147,2025-11-24,92,5,3
148,2025-04-02,124,5,2
149,2025-12-28,110,6,1
150,2025-01-17,56,9,5
151,2025-03-15,84,3,3
152,2025-12-30,2,6,2
153,2026-04-10,22,2,2
154,2025-02-24,28,9,3
155,2026-04-30,8,11,1
156,2026-02-04,122,1,1
157,2025-01-31,22,4,1
158,2025-07-17,50,1,1
159,2025-04-03,69,5,1
160,2025-09-30,15,10,1
161,2026-06-13,33,4,1
162,2026-03-16,90,7,1
163,2025-08-30,129,6,1
164,2026-06-24,114,4,1
165,2025-11-20,73,6,1
166,2026-05-24,32,1,2
167,2025-11-25,46,1,1
168,2025-07-25,134,4,1
169,2025-06-08,12,8,1
170,2025-10-31,4,5,1
171,2025-02-11,52,2,2
172,2025-03-01,59,3,1
173,2025-03-22,55,1,1
174,2025-05-22,33,4,1
175,2025-10-07,91,5,2
176,2025-08-01,87,10,1
177,2025-11-24,145,3,1
178,2026-03-16,147,8,1
179,2026-03-28,25,3,3
180,2025-12-10,129,8,1
181,2026-05-30,14,10,1
182,2025-12-01,114,10,1
183,2025-07-11,138,2,1
184,2025-02-02,49,8,1
185,2025-02-10,11,3,1
186,2026-01-07,49,7,4
187,2025-06-12,67,6,2
188,2025-08-25,10,3,1
189,2025-01-12,107,7,1
190,2025-03-22,125,11,1
191,2026-05-05,73,7,2
192,2025-08-22,20,2,1
193,2025-10-13,34,9,1
194,2026-05-23,97,11,3
195,2026-03-22,147,10,1
196,2025-03-11,74,8,1
197,2026-01-15,106,4,1
198,2025-12-16,5,9,1
199,2025-03-01,90,4,1
200,2025-12-01,91,1,2
